reihenfolge,datum,kino_name,alphabet_kino,alphabet_stadt,kino_name_escaped,kino_strasse_nr,kino_plz,kino_stadt,lon,lat,kino_tel,kino_url,kino_url_hyper,kino_info,kino_map,video_url,image,video_id
1,2014-10-08,Kinemathek,29,33,kinemathek-karlsruhe,Kaiserpassage 6,76133,Karlsruhe,8.394711,49.010601,0721 9374714,http://kinemathek-karlsruhe.de,http://kinemathek-karlsruhe.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kinemathek+Karlsruhe+e.V./@49.010601,8.3947113,17z/data=!3m1!4b1!4m5!3m4!1s0x4797065078fb2b23:0x73d1b5217b4a7cc5!8m2!3d49.010601!4d8.3969?hl=en-GB",,,173466464
2,2014-10-10,Subiaco Kino,66,2,subiaco-alpirsbach,Klosterplatz 2,72275,Alpirsbach,8.401595,48.346304,7444916741,http://www.subiaco.de,http://www.subiaco.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Subiaco+cinema+e.V./@48.3463041,8.4015949,17z/data=!3m1!4b1!4m5!3m4!1s0x4790ca3a17fa9ac7:0x92b982458e576da5!8m2!3d48.3463041!4d8.4037836?hl=en-GB",,,173455565
3,2014-10-12,Blaue Königin,6,12,blaue-koenigin-bruehl,Karl-reinfriedstr. 5,77815,Brühl,8.131501,48.69391,078 41 2 52 52,http://www.kino-achern.de,http://www.kino-achern.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Blaue+K%C3%B6nigin/@48.69391,8.1315013,17z/data=!3m1!4b1!4m5!3m4!1s0x4796df6759065617:0xb6ef54bed47b1d4d!8m2!3d48.69391!4d8.13369?hl=en-GB",,,173363476
4,2014-10-13,Filmhaus,22,53,filmhaus-nuernberg,Frommannstraße 12,90419,Nürnberg,11.069417,49.458625,0911 231734,https://www.kunstkulturquartier.de/filmhaus/programm/,https://www.kunstkulturquartier.de/filmhaus/programm/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Filmhaus+N%C3%BCrnberg+e.V./@49.4586252,11.0694172,17z/data=!3m1!4b1!4m5!3m4!1s0x479f57b23cb28161:0xebb4c39d643a6d28!8m2!3d49.4586252!4d11.0716059?hl=en-GB",https://vimeo.com/232243916,,140768825
5,2014-10-14,Kommunales Kino,45,55,kommunales-kino-oberkirch,Apothekergasse 7,77704,Oberkirch,8.076811,48.52991,07802 700220,http://www.koki-oberkirch.de/programm,http://www.koki-oberkirch.de/programm,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Apothekergasse+7,+77704+Oberkirch,+Germany/@48.52991,8.0768113,17z/data=!3m1!4b1!4m5!3m4!1s0x4796d610e9d3b6a7:0xf59d5bbfd4222e3e!8m2!3d48.52991!4d8.079?hl=en-GB",,,140730510
6,2014-10-15,Kommunales Kino,46,61,kommunales-kino-pforzheim,Schloßberg 20,75175,Pforzheim  ,8.702134,48.89292,07231 5661970,http://kommunales-kino-pforzheim.de/,http://kommunales-kino-pforzheim.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kommunales+Kino+Pforzheim/@48.8929196,8.7021337,17z/data=!3m1!4b1!4m5!3m4!1s0x4797721faf639e13:0x318274d14faf396c!8m2!3d48.8929196!4d8.7043224?hl=en-GB",https://vimeo.com/232248255,,136435473
7,2014-10-16,Studiokino,65,43,studiokino-magdeburg,Moritzplatz 1a,39124,Magdeburg,11.630697,52.15571,0391288 999 63,http://www.studiokino.com,http://www.studiokino.com,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Studiokino/@52.1557101,11.6306969,17z/data=!3m1!4b1!4m5!3m4!1s0x47af5f3de5bab075:0xed119b157a68f2f2!8m2!3d52.1557101!4d11.6328856?hl=en-GB",,,134409421
8,2014-10-16,Werkstattkino,74,50,werkstattkino-muenchen,Fraunhoferstraße 9,80469,München,11.570394,48.130744,089 2607250,http://werkstattkino.de,http://werkstattkino.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Werkstattkino/@48.1307438,11.570394,17z/data=!3m1!4b1!4m5!3m4!1s0x479ddf60a6faaaa3:0xbc7c384b8cc538e2!8m2!3d48.1307438!4d11.5725827?hl=en-GB",,,133146010
9,2014-10-17,Filmbühne Caligari,17,74,caligari-wiesbaden,Marktplatz 9,65183,Wiesbaden,8.241669,50.082139,0611 315050,http://www.wiesbaden.de/microsite/caligari/index.php,http://www.wiesbaden.de/microsite/caligari/index.php,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Caligari+Film-B%C3%BChne/@50.0821386,8.2416689,17z/data=!3m1!4b1!4m5!3m4!1s0x47bdbdd9600484e3:0xf4699d6a2f3a375d!8m2!3d50.0821386!4d8.2438576?hl=en-GB",,,130017082
10,2014-10-20,Kino Breitwand im Schloß,34,66,breitwand-seefeld,Schloßhof 7,82229,Seefeld,11.201901,48.030773,08152 981898,http://www.breitwand.com/home/cm/start-3/index.html,http://www.breitwand.com/home/cm/start-3/index.html,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kino+Breitwand+im+Schlo%C3%9F+Seefeld/@48.0307729,11.2019006,17z/data=!3m1!4b1!4m5!3m4!1s0x479dd2b7fba32db3:0x26480ddbcc81c950!8m2!3d48.0307729!4d11.2040893?hl=en-GB",https://vimeo.com/232236718,,123323317
11,2014-10-21,Scharfrichter Kino,63,59,scharfrichter-passau,Milchgasse 2,94032,Passau,13.467169,48.574766,0851 9883550,http://www.cineplex.de/infos/unsere-kinos/1223/passau/,http://www.cineplex.de/infos/unsere-kinos/1223/passau/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Passau+Scharfrichter-Kino/@48.5747656,13.4671685,17z/data=!3m1!4b1!4m5!3m4!1s0x4774f60017abd177:0x67e3aae9b5e1027e!8m2!3d48.5747656!4d13.4693572?hl=en-GB",,,105220220
12,2014-10-21,Filmgalerie im Leeren Beutel,21,62,filmgalerie-im-leeren-beutel-regensburg,Bertoldstraße 9,93047,Regensburg,12.100947,49.018311,0941 298 45 63,http://www.filmgalerie.de,http://www.filmgalerie.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Filmgalerie+Kino+im+Leeren+Beutel/@49.0183113,12.1009469,17z/data=!3m1!4b1!4m5!3m4!1s0x479fc1a166613509:0xbd86769274b11b0f!8m2!3d49.0183113!4d12.1031356?hl=en-GB",,,99451997
13,2014-10-23,Thalia,68,3,thalia-augsburg,Obstmarkt 5,86152,Augsburg,10.894701,48.370787,082115 3078,http://www.lechflimmern.de/kino02/start.php,http://www.lechflimmern.de/kino02/start.php,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Thalia/@48.3707872,10.8947012,17z/data=!3m1!4b1!4m5!3m4!1s0x479ebd50fb83efb3:0x722db08f29dc0a1e!8m2!3d48.3707872!4d10.8968899?hl=en-GB",,,99449458
14,2014-10-24,Filmpalette,25,38,filmpalette-koeln,Lübecker Straße 15,50668,Köln,6.953026,50.94962,0221 12 21 12,http://www.filmpalette-koeln.de,http://www.filmpalette-koeln.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Filmpalette/@50.9496195,6.9530261,17z/data=!3m1!4b1!4m5!3m4!1s0x47bf25a23840e2b7:0xf8a23193a5798cb!8m2!3d50.9496195!4d6.9552148?hl=en-GB",,,87456848
15,2014-10-25,Bonner Kinemathek in der Brotfabrik,7,9,kinemathek-brotfabrik-bonn,Kreuzstraße 16,53225,Bonn-Beuel,7.121121,50.74089,0228 47 84 89,http://www.bonnerkinemathek.de,http://www.bonnerkinemathek.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Bonner+Kinemathek/@50.74089,7.1211213,17z/data=!3m1!4b1!4m5!3m4!1s0x47bee110c52c1c4f:0x8a81c28864f6fa60!8m2!3d50.74089!4d7.12331?hl=en-GB",,,173466464
16,2014-10-26,Bambi,5,15,bambi-duesseldorf,Klosterstr. 78,40211,Düsseldorf,6.786957,51.224686,0211 35 36 35,http://www.filmkunstkinos.de/index.php,http://www.filmkunstkinos.de/index.php,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Bambi+Filmstudio/@51.224686,6.7869571,17z/data=!3m1!4b1!4m5!3m4!1s0x47b8ca255b16f953:0x8a236755536ff506!8m2!3d51.224686!4d6.7891458?hl=en-GB",,,173455565
17,2014-10-27,Filmstudio Glückauf,26,16,filmstudio-glueckauf-essen,Rüttenscheider Straße 2 ,45128,Essen,7.004722,51.443403,0201 43 93 66 33,http://www.essener-filmkunsttheater.de,http://www.essener-filmkunsttheater.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Filmstudio/@51.4434033,7.0047219,17z/data=!3m1!4b1!4m5!3m4!1s0x47b8c2cfd0ea30d1:0x653bfdd2bfb37d6d!8m2!3d51.4434033!4d7.0069106?hl=en-GB",,,173363476
18,2014-10-28,Cineplex,12,58,cineplex-paderborn,Westernstr. 34 ,33098,Paderborn,8.746064,51.716397,05251 2906000,http://www.cineplex.de/paderborn/,http://www.cineplex.de/paderborn/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Pollux+by+Cineplex/@51.716397,8.7460643,17z/data=!3m1!4b1!4m5!3m4!1s0x47ba4ca2b0c03e6f:0xd351abae8a9d68ff!8m2!3d51.716397!4d8.748253?hl=en-GB",,,140768825
19,2014-10-29,Kino Arsenal,33,6,arsenal-berlin,Potsdamer Straße 2 ,10785,Berlin,13.371387,52.509651,030 26955100,http://www.arsenal-berlin.de/home.html,http://www.arsenal-berlin.de/home.html,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Arsenal+%E2%80%93+Institut+f%C3%BCr+Film+und+Videokunst+e.V/@52.5096511,13.3713866,17z/data=!3m1!4b1!4m5!3m4!1s0x47a851c99b1ac3bb:0x94ce196a05747417!8m2!3d52.5096511!4d13.3735753?hl=en-GB",,,140730510
20,2014-11-03,Filmladen,24,36,filmladen-kassel,Goethestrasse 31,34119,Kassel,9.470841,51.31415,0561 707 640,http://www.filmladen.de,http://www.filmladen.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Filmladen+Kassel+e.+V/@51.31415,9.4708413,17z/data=!3m1!4b1!4m5!3m4!1s0x47bb3f4390499f0f:0x7f56c4011fd3ee64!8m2!3d51.31415!4d9.47303?hl=en-GB",,,136435473
21,2014-11-04,Trauma im G-Werk,70,44,trauma-marburg,Afföllerwiesen 3A,35039,Marburg  ,8.767768,50.820565,06421 889772,http://www.cafetrauma.de/,http://www.cafetrauma.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Trauma+im+G-Werk+e.V./@50.8205647,8.7677679,17z/data=!3m1!4b1!4m5!3m4!1s0x47bc629ac1a29f49:0xa612dc33c1477569!8m2!3d50.8205647!4d8.7699566?hl=en-GB",https://vimeo.com/232248557,,134409421
22,2014-11-05,Mal Sehn’ Kino,58,18,mal-sehn-frankfurt,"Adlerflychtstr. 6, Hinterhaus",60318,Frankfurt,8.683396,50.123887,069 5970845,http://www.malsehnkino.de,http://www.malsehnkino.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Mal+Seh'n+cinema+e.V./@50.1238865,8.6833959,17z/data=!3m1!4b1!4m5!3m4!1s0x47bd0eb9d2642fd9:0x926f22821948bfee!8m2!3d50.1238865!4d8.6855846?hl=en-GB",,,133146010
23,2014-11-07,Kommunales Kino,47,19,kommunales-kino-freiburg,Urachstraße 40,79102,Freiburg im Breisgau,7.851352,47.984806,0761 4598000,https://www.koki-freiburg.de/,https://www.koki-freiburg.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kommunales+Kino/@47.9848058,7.8513516,17z/data=!3m1!4b1!4m5!3m4!1s0x47911ca4b4af9c93:0x16bc92c92ca376dd!8m2!3d47.9848058!4d7.8535403?hl=en-GB",https://vimeo.com/232244969,,130017082
